-0.006103s;I2C, Start,,,,,LSM6DSL,0xd4/0xd5
-0.006091s;I2C, W, Address, 0xd4, Ack,,,
-0.005931s;I2C, W, Data, 0x1e, Ack,,,
-0.005724s;I2C, Repeat start,,,,,,
-0.005712s;I2C, R, Address, 0xd5, Ack,,,
-0.005548s;I2C, R, Data, 0x07, Nack,,,
-0.005394s;I2C, Stop,,,,,,
-0.005372s;I2C, Start,,,,,,
-0.005360s;I2C, W, Address, 0xd4, Ack,,,
-0.005200s;I2C, W, Data, 0x28, Ack,,,
-0.004993s;I2C, Repeat start,,,,,,
-0.004981s;I2C, R, Address, 0xd5, Ack,,,
-0.004811s;I2C, R, Data, 0x9b, Nack,,,
-0.004657s;I2C, Stop,,,,,,
-0.004635s;I2C, Start,,,,,,
-0.004620s;I2C, W, Address, 0xd4, Ack,,,
-0.004463s;I2C, W, Data, 0x29, Ack,,,
-0.004256s;I2C, Repeat start,,,,,,
-0.004243s;I2C, R, Address, 0xd5, Ack,,,
-0.004067s;I2C, R, Data, 0x01, Nack,,,
-0.003916s;I2C, Stop,,,,,,
-0.003891s;I2C, Start,,,,,,
-0.003879s;I2C, W, Address, 0xd4, Ack,,,
-0.003719s;I2C, W, Data, 0x2a, Ack,,,
-0.003516s;I2C, Repeat start,,,,,,
-0.003504s;I2C, R, Address, 0xd5, Ack,,,
-0.003338s;I2C, R, Data, 0x77, Nack,,,
-0.003187s;I2C, Stop,,,,,,
-0.003164s;I2C, Start,,,,,,
-0.003152s;I2C, W, Address, 0xd4, Ack,,,
-0.002992s;I2C, W, Data, 0x2b, Ack,,,
-0.002767s;I2C, Repeat start,,,,,,
-0.002755s;I2C, R, Address, 0xd5, Ack,,,
-0.002591s;I2C, R, Data, 0x00, Nack,,,
-0.002435s;I2C, Stop,,,,,,
-0.002413s;I2C, Start,,,,,,
-0.002400s;I2C, W, Address, 0xd4, Ack,,,
-0.002241s;I2C, W, Data, 0x2c, Ack,,,
-0.002030s;I2C, Repeat start,,,,,,
-0.002017s;I2C, R, Address, 0xd5, Ack,,,
-0.001853s;I2C, R, Data, 0x68, Nack,,,
-0.001700s;I2C, Stop,,,,,,
-0.001677s;I2C, Start,,,,,,
-0.001665s;I2C, W, Address, 0xd4, Ack,,,
-0.001505s;I2C, W, Data, 0x2d, Ack,,,
-0.001298s;I2C, Repeat start,,,,,,
-0.001286s;I2C, R, Address, 0xd5, Ack,,,
-0.001120s;I2C, R, Data, 0x41, Nack,,,
-0.000963s;I2C, Stop,,,,,,
-0.000938s;I2C, Start,,,,,,
-0.000926s;I2C, W, Address, 0xd4, Ack,,,
-0.000760s;I2C, W, Data, 0x1e, Ack,,,
-0.000553s;I2C, Repeat start,,,,,,
-0.000541s;I2C, R, Address, 0xd5, Ack,,,
-0.000377s;I2C, R, Data, 0x06, Nack,,,
-0.000223s;I2C, Stop,,,,,,
-0.000199s;I2C, Start,,,,,,
-0.000186s;I2C, W, Address, 0xd4, Ack,,,
0.000711s;I2C, W, Data, 0x22, Ack,,,
0.000918s;I2C, Repeat start,,,,,,
0.000930s;I2C, R, Address, 0xd5, Ack,,,
0.001094s;I2C, R, Data, 0x3c, Nack,,,
0.001253s;I2C, Stop,,,,,,
0.001278s;I2C, Start,,,,,,
0.001290s;I2C, W, Address, 0xd4, Ack,,,
0.001448s;I2C, W, Data, 0x23, Ack,,,
0.001655s;I2C, Repeat start,,,,,,
0.001667s;I2C, R, Address, 0xd5, Ack,,,
0.002576s;I2C, R, Data, 0x01, Nack,,,
0.002730s;I2C, Stop,,,,,,
0.002755s;I2C, Start,,,,,,
0.002767s;I2C, W, Address, 0xd4, Ack,,,
0.002925s;I2C, W, Data, 0x24, Ack,,,
0.003131s;I2C, Repeat start,,,,,,
0.003150s;I2C, R, Address, 0xd5, Ack,,,
0.003316s;I2C, R, Data, 0x3d, Nack,,,
0.003469s;I2C, Stop,,,,,,
0.003492s;I2C, Start,,,,,,
0.003504s;I2C, W, Address, 0xd4, Ack,,,
0.003664s;I2C, W, Data, 0x25, Ack,,,
0.006181s;I2C, Repeat start,,,,,,
0.006193s;I2C, R, Address, 0xd5, Ack,,,
0.006361s;I2C, R, Data, 0x00, Nack,,,
0.006521s;I2C, Stop,,,,,,
0.006543s;I2C, Start,,,,,,
0.006558s;I2C, W, Address, 0xd4, Ack,,,
0.006730s;I2C, W, Data, 0x26, Ack,,,
0.006935s;I2C, Repeat start,,,,,,
0.006947s;I2C, R, Address, 0xd5, Ack,,,
0.007113s;I2C, R, Data, 0x29, Nack,,,
0.007266s;I2C, Stop,,,,,,
